content_id,date,views,avg_watch_time_min,completion_rate,unique_viewers,device,region
CNT0002,2024-09-30,81455,18.0,0.8182,51054,Mobile,Northeast
CNT0002,2024-10-01,128035,17.5,0.7955,92066,Desktop,Southwest
CNT0002,2024-10-02,291355,19.1,0.8682,185316,Desktop,Southwest
CNT0002,2024-10-03,78723,18.6,0.8455,60923,Tablet,West
CNT0002,2024-10-04,158552,18.9,0.8591,100406,CTV,Southwest
CNT0002,2024-10-05,190912,11.0,0.5,147367,Tablet,Midwest
CNT0002,2024-10-06,134038,17.1,0.7773,116330,CTV,Northeast
CNT0002,2024-10-07,165473,9.9,0.45,148426,Tablet,West
CNT0002,2024-10-08,298737,14.3,0.65,202620,Desktop,Southwest
CNT0002,2024-10-09,199079,17.4,0.7909,180589,Tablet,Midwest
CNT0002,2024-10-10,207404,17.1,0.7773,175883,CTV,Southwest
CNT0002,2024-10-11,166986,16.8,0.7636,111825,Mobile,Northeast
CNT0002,2024-10-12,266713,9.5,0.4318,239415,Mobile,Southeast
CNT0002,2024-10-13,34778,10.1,0.4591,21057,CTV,Northeast
CNT0002,2024-10-14,101798,9.7,0.4409,69318,Mobile,Northeast
CNT0002,2024-10-15,78346,16.9,0.7682,70515,CTV,Northeast
CNT0002,2024-10-16,192698,18.5,0.8409,143152,Tablet,Southwest
CNT0002,2024-10-17,203779,15.1,0.6864,162238,CTV,Southeast
CNT0002,2024-10-18,171702,16.5,0.75,109114,CTV,Northeast
CNT0002,2024-10-19,94086,18.7,0.85,69164,CTV,Southeast
CNT0002,2024-10-20,175959,7.7,0.35,105878,Mobile,Southeast
CNT0002,2024-10-21,179751,11.9,0.5409,139140,Mobile,Northeast
CNT0002,2024-10-22,19374,11.7,0.5318,11912,Mobile,Midwest
CNT0002,2024-10-23,60664,18.8,0.8545,53853,CTV,Midwest
CNT0002,2024-10-24,102607,16.3,0.7409,91932,Mobile,Southwest
CNT0002,2024-10-25,117755,8.5,0.3864,87651,Tablet,Southeast
CNT0002,2024-10-26,124833,17.2,0.7818,112192,Mobile,Southeast
CNT0002,2024-10-27,179418,20.2,0.9182,119524,Tablet,Southeast
CNT0002,2024-10-28,74433,17.9,0.8136,54366,CTV,Southwest
CNT0002,2024-10-29,91282,15.7,0.7136,80569,Tablet,Southeast
CNT0002,2024-10-30,102335,13.4,0.6091,69516,Desktop,Northeast
CNT0002,2024-10-31,9953,19.9,0.9045,6576,Mobile,Southeast
CNT0002,2024-11-01,56452,16.7,0.7591,36623,Mobile,Midwest
CNT0002,2024-11-02,43118,13.5,0.6136,34150,CTV,Southwest
CNT0002,2024-11-03,73382,11.8,0.5364,66053,CTV,West
CNT0002,2024-11-04,113853,13.9,0.6318,71771,CTV,West
CNT0002,2024-11-05,131838,16.8,0.7636,113930,Mobile,Northeast
CNT0002,2024-11-06,85139,19.0,0.8636,65747,CTV,Midwest
CNT0002,2024-11-07,47300,17.4,0.7909,37782,Tablet,Southwest
CNT0002,2024-11-08,86735,19.7,0.8955,55282,CTV,Midwest
CNT0002,2024-11-09,91016,13.0,0.5909,79459,Mobile,Southwest
CNT0002,2024-11-10,89368,11.4,0.5182,72516,Mobile,Northeast
CNT0002,2024-11-11,30845,16.5,0.75,22226,Tablet,Southwest
CNT0002,2024-11-12,52774,17.3,0.7864,41993,Desktop,Southwest
CNT0002,2024-11-13,13849,9.4,0.4273,10295,Desktop,Southwest
CNT0002,2024-11-14,45825,15.1,0.6864,40562,Mobile,Midwest
CNT0002,2024-11-15,15939,10.5,0.4773,10954,Tablet,Northeast
CNT0002,2024-11-16,67936,17.0,0.7727,60035,CTV,West
CNT0002,2024-11-17,25012,15.6,0.7091,16149,Tablet,West
CNT0002,2024-11-18,69545,20.1,0.9136,48503,Tablet,Southwest
CNT0002,2024-11-19,47746,12.7,0.5773,28977,CTV,Southwest
CNT0002,2024-11-20,56057,13.4,0.6091,45939,Tablet,Midwest
CNT0002,2024-11-21,53614,12.1,0.55,42767,Desktop,West
CNT0002,2024-11-22,18949,8.6,0.3909,14456,Desktop,Northeast
CNT0002,2024-11-23,40887,13.5,0.6136,28313,Tablet,Southwest
CNT0002,2024-11-24,46783,12.0,0.5455,34038,CTV,West
CNT0002,2024-11-25,26131,17.4,0.7909,20141,Desktop,Midwest
CNT0002,2024-11-26,31160,7.8,0.3545,24727,Tablet,Northeast
CNT0002,2024-11-27,27401,19.8,0.9,17477,CTV,Southeast
CNT0002,2024-11-28,26814,9.4,0.4273,20024,Tablet,West
CNT0002,2024-11-29,27594,14.6,0.6636,24518,CTV,Southwest
CNT0002,2024-11-30,12713,11.1,0.5045,11018,Desktop,Southwest
CNT0002,2024-12-01,8416,17.4,0.7909,5051,Mobile,Northeast
CNT0002,2024-12-02,19065,13.8,0.6273,15506,Mobile,Southwest
CNT0002,2024-12-03,24334,16.9,0.7682,16639,CTV,Southwest
CNT0002,2024-12-04,13961,12.9,0.5864,12243,CTV,Southeast
CNT0002,2024-12-05,20369,17.6,0.8,18186,CTV,Northeast
CNT0002,2024-12-06,9240,8.3,0.3773,6563,Tablet,West
CNT0002,2024-12-07,6035,15.1,0.6864,5300,Desktop,Southeast
CNT0002,2024-12-08,3108,19.1,0.8682,2809,Tablet,Midwest
CNT0002,2024-12-09,5244,14.7,0.6682,4433,Mobile,West
CNT0002,2024-12-10,23312,16.0,0.7273,20680,Desktop,West
CNT0002,2024-12-11,16254,14.8,0.6727,12366,Tablet,Northeast
CNT0002,2024-12-12,37034,9.2,0.4182,27815,Tablet,Northeast
CNT0002,2024-12-13,3453,9.1,0.4136,2900,Tablet,Midwest
CNT0002,2024-12-14,22586,9.2,0.4182,15220,Desktop,Midwest
CNT0002,2024-12-15,9809,9.3,0.4227,7753,CTV,West
CNT0002,2024-12-16,11603,11.1,0.5045,8235,Tablet,Southwest
CNT0003,2024-10-07,450172,49.0,0.8167,324012,Desktop,Northeast
CNT0003,2024-10-08,377212,25.8,0.43,320252,CTV,Midwest
CNT0003,2024-10-09,435678,41.9,0.6983,322218,Tablet,Southeast
CNT0003,2024-10-10,274861,52.9,0.8817,232476,Mobile,Southeast
CNT0003,2024-10-11,205318,41.8,0.6967,144989,Mobile,Midwest
CNT0003,2024-10-12,412839,48.1,0.8017,281869,Desktop,West
CNT0003,2024-10-13,297423,31.4,0.5233,205918,Desktop,Midwest
CNT0003,2024-10-14,514424,28.6,0.4767,380603,Mobile,Northeast
CNT0003,2024-10-15,244128,39.3,0.655,170892,Tablet,Northeast
CNT0003,2024-10-16,149315,30.8,0.5133,124404,Mobile,Northeast
CNT0003,2024-10-17,155059,45.0,0.75,135799,CTV,Northeast
CNT0003,2024-10-18,235632,34.5,0.575,191024,CTV,Northeast
CNT0003,2024-10-19,392482,29.1,0.485,333302,Mobile,West
CNT0003,2024-10-20,393639,26.4,0.44,333478,Mobile,Southwest
CNT0003,2024-10-21,223084,40.0,0.6667,184703,Desktop,Southwest
CNT0003,2024-10-22,202195,26.8,0.4467,159132,Desktop,Southeast
CNT0003,2024-10-23,386328,49.8,0.83,249097,Desktop,Northeast
CNT0003,2024-10-24,217231,25.0,0.4167,165259,Tablet,Midwest
CNT0003,2024-10-25,345352,23.9,0.3983,214566,Desktop,Northeast
CNT0003,2024-10-26,282523,50.1,0.835,173777,Desktop,Southwest
CNT0003,2024-10-27,88065,29.8,0.4967,65636,Desktop,West
CNT0003,2024-10-28,113141,47.2,0.7867,91006,Desktop,Southeast
CNT0003,2024-10-29,120525,36.0,0.6,92714,Desktop,Northeast
CNT0003,2024-10-30,240134,25.1,0.4183,188693,Tablet,Southeast
CNT0003,2024-10-31,125282,30.9,0.515,111302,Mobile,Northeast
CNT0003,2024-11-01,126813,28.9,0.4817,96805,CTV,Southeast
CNT0003,2024-11-02,104114,25.3,0.4217,69723,CTV,Northeast
CNT0003,2024-11-03,247481,27.9,0.465,213863,Mobile,West
CNT0003,2024-11-04,37998,38.5,0.6417,28951,Mobile,Southwest
CNT0003,2024-11-05,30884,33.1,0.5517,20250,Tablet,Southeast
CNT0003,2024-11-06,16001,30.8,0.5133,12441,Mobile,Midwest
CNT0003,2024-11-07,227776,23.1,0.385,149897,Tablet,Midwest
CNT0003,2024-11-08,169148,32.2,0.5367,137261,Desktop,Southeast
CNT0003,2024-11-09,127349,48.8,0.8133,108368,CTV,Northeast
CNT0003,2024-11-10,161935,40.3,0.6717,102725,Tablet,West
CNT0003,2024-11-11,46753,31.0,0.5167,41058,Tablet,Northeast
CNT0003,2024-11-12,154893,36.1,0.6017,111716,Mobile,Southwest
CNT0003,2024-11-13,92408,41.1,0.685,57375,Desktop,Southeast
CNT0003,2024-11-14,66383,48.8,0.8133,42730,Desktop,West
CNT0003,2024-11-15,169120,48.2,0.8033,115650,Desktop,Northeast
CNT0003,2024-11-16,88611,41.1,0.685,69778,CTV,Northeast
CNT0003,2024-11-17,33874,22.6,0.3767,26780,Desktop,West
CNT0003,2024-11-18,48405,40.7,0.6783,37272,Mobile,Midwest
CNT0003,2024-11-19,43652,24.3,0.405,27378,Tablet,Southwest
CNT0003,2024-11-20,50345,51.9,0.865,32949,Desktop,West
CNT0003,2024-11-21,49722,46.2,0.77,38021,Desktop,Southwest
CNT0003,2024-11-22,148163,42.0,0.7,110604,Desktop,West
CNT0003,2024-11-23,42775,40.2,0.67,37667,Tablet,Midwest
CNT0003,2024-11-24,84095,45.3,0.755,59836,Mobile,Southwest
CNT0003,2024-11-25,31890,49.8,0.83,19657,Mobile,Northeast
CNT0003,2024-11-26,33543,46.5,0.775,25092,CTV,Southeast
CNT0003,2024-11-27,49331,39.1,0.6517,32558,Tablet,Northeast
CNT0003,2024-11-28,49627,21.5,0.3583,34987,Desktop,Midwest
CNT0003,2024-11-29,50895,48.7,0.8117,43401,Mobile,West
CNT0003,2024-11-30,62344,47.0,0.7833,40595,Tablet,Southwest
CNT0003,2024-12-01,14111,23.8,0.3967,11745,CTV,Southeast
CNT0003,2024-12-02,54801,38.2,0.6367,46067,CTV,Northeast
CNT0003,2024-12-03,56559,29.4,0.49,51782,Tablet,Southwest
CNT0003,2024-12-04,13336,30.4,0.5067,11912,CTV,Northeast
CNT0003,2024-12-05,78660,43.5,0.725,69005,Mobile,Northeast
CNT0003,2024-12-06,65265,37.0,0.6167,40140,Desktop,Southeast
CNT0003,2024-12-07,53664,50.5,0.8417,48076,Mobile,Southeast
CNT0003,2024-12-08,39210,24.1,0.4017,33928,Desktop,Southwest
CNT0003,2024-12-09,61183,46.7,0.7783,51482,Tablet,Northeast
CNT0003,2024-12-10,52873,31.9,0.5317,33864,Tablet,Northeast
CNT0003,2024-12-11,11115,25.2,0.42,7526,CTV,Northeast
CNT0003,2024-12-12,30811,53.8,0.8967,23738,Tablet,Midwest
CNT0003,2024-12-13,12620,43.1,0.7183,8844,CTV,Southeast
CNT0003,2024-12-14,34184,22.4,0.3733,21156,Desktop,Southwest
CNT0003,2024-12-15,6705,50.3,0.8383,5561,CTV,Midwest
CNT0003,2024-12-16,21430,23.1,0.385,13788,Mobile,West
CNT0003,2024-12-17,21456,34.7,0.5783,19092,Tablet,Southeast
CNT0003,2024-12-18,27447,46.9,0.7817,17696,Tablet,Northeast
CNT0003,2024-12-19,14884,44.6,0.7433,11357,Tablet,Southwest
CNT0003,2024-12-20,20360,28.1,0.4683,13792,CTV,Northeast
CNT0003,2024-12-21,23620,32.4,0.54,16603,Tablet,Northeast
CNT0003,2024-12-22,19061,42.6,0.71,13217,Mobile,Northeast
CNT0003,2024-12-23,48967,32.4,0.54,35426,Tablet,Southeast
CNT0003,2024-12-24,28991,37.7,0.6283,19119,Desktop,Northeast
CNT0003,2024-12-25,6550,34.0,0.5667,4445,CTV,Southeast
CNT0003,2024-12-26,29355,52.2,0.87,22042,Mobile,West
CNT0003,2024-12-27,3893,50.2,0.8367,3014,Tablet,West
CNT0003,2024-12-28,13353,21.2,0.3533,11917,Desktop,Southeast
CNT0003,2024-12-29,23413,23.8,0.3967,20095,Desktop,Northeast
CNT0003,2024-12-30,37031,44.4,0.74,23125,CTV,Southwest
CNT0003,2024-12-31,22694,36.8,0.6133,20506,Mobile,Midwest
CNT0004,2024-09-04,565878,50.8,0.8467,454479,Desktop,West
CNT0004,2024-09-05,317440,22.5,0.375,228384,CTV,Northeast
CNT0004,2024-09-06,260813,43.9,0.7317,202129,Mobile,West
CNT0004,2024-09-07,173872,21.3,0.355,112263,Tablet,Southeast
CNT0004,2024-09-08,158501,25.6,0.4267,138578,CTV,Midwest
CNT0004,2024-09-09,610233,29.9,0.4983,418978,CTV,Southwest
CNT0004,2024-09-10,637455,28.9,0.4817,447134,Mobile,Northeast
CNT0004,2024-09-11,462941,35.1,0.585,395875,Tablet,West
CNT0004,2024-09-12,300686,29.9,0.4983,253170,CTV,Southwest
CNT0004,2024-09-13,156548,26.9,0.4483,120809,Desktop,Southwest
CNT0004,2024-09-14,516437,36.5,0.6083,354419,Desktop,Midwest
CNT0004,2024-09-15,93437,50.3,0.8383,63152,Desktop,Southwest
CNT0004,2024-09-16,362404,25.6,0.4267,274378,Tablet,Midwest
CNT0004,2024-09-17,117125,21.7,0.3617,106549,CTV,Northeast
CNT0004,2024-09-18,201263,49.7,0.8283,173618,CTV,Southeast
CNT0004,2024-09-19,237305,53.4,0.89,187235,CTV,Southwest
CNT0004,2024-09-20,396971,28.0,0.4667,297873,Desktop,Southwest
CNT0004,2024-09-21,169013,46.0,0.7667,113006,Desktop,West
CNT0004,2024-09-22,149526,21.5,0.3583,101728,Mobile,Northeast
CNT0004,2024-09-23,293202,21.4,0.3567,261596,Desktop,Southeast
CNT0004,2024-09-24,276619,49.2,0.82,243278,CTV,Southeast
CNT0004,2024-09-25,271470,25.4,0.4233,174456,Desktop,Southeast
CNT0004,2024-09-26,23365,52.6,0.8767,14526,Mobile,Southeast
CNT0004,2024-09-27,41058,41.9,0.6983,34149,Desktop,West
CNT0004,2024-09-28,171761,25.6,0.4267,117816,Desktop,Northeast
CNT0004,2024-09-29,25634,22.9,0.3817,21041,Desktop,Northeast
CNT0004,2024-09-30,139246,28.4,0.4733,95610,Mobile,Southwest
CNT0004,2024-10-01,275569,23.6,0.3933,220136,Desktop,Northeast
CNT0004,2024-10-02,228984,52.6,0.8767,147956,Desktop,Southwest
CNT0004,2024-10-03,133524,22.0,0.3667,111313,Tablet,Southeast
CNT0004,2024-10-04,143509,54.6,0.91,125853,Tablet,Southeast
CNT0004,2024-10-05,49910,27.1,0.4517,31193,Tablet,Midwest
CNT0004,2024-10-06,55345,27.3,0.455,33454,Mobile,Southeast
CNT0004,2024-10-07,83682,24.4,0.4067,64497,CTV,Northeast
CNT0004,2024-10-08,43232,31.4,0.5233,33213,CTV,West
CNT0004,2024-10-09,61781,22.7,0.3783,37305,Tablet,West
CNT0004,2024-10-10,157962,43.3,0.7217,97612,Mobile,Northeast
CNT0004,2024-10-11,20429,41.3,0.6883,17352,Mobile,West
CNT0004,2024-10-12,105509,45.7,0.7617,65671,Desktop,Southeast
CNT0004,2024-10-13,142983,53.8,0.8967,112482,CTV,Midwest
CNT0004,2024-10-14,102750,37.3,0.6217,71941,CTV,Northeast
CNT0004,2024-10-15,37538,29.3,0.4883,26529,CTV,Northeast
CNT0004,2024-10-16,59009,28.4,0.4733,44119,Mobile,Northeast
CNT0004,2024-10-17,100282,36.4,0.6067,65311,CTV,Southeast
CNT0004,2024-10-18,177946,48.8,0.8133,139018,Tablet,Northeast
CNT0004,2024-10-19,120915,34.3,0.5717,78064,CTV,Northeast
CNT0004,2024-10-20,61355,31.8,0.53,54916,Desktop,West
CNT0004,2024-10-21,30672,55.2,0.92,19492,Mobile,Southwest
CNT0004,2024-10-22,13323,37.2,0.62,8020,Desktop,Midwest
CNT0004,2024-10-23,27714,34.9,0.5817,25348,Mobile,Southeast
CNT0004,2024-10-24,55923,31.0,0.5167,47628,Mobile,Southeast
CNT0004,2024-10-25,30941,25.9,0.4317,24979,CTV,Southeast
CNT0004,2024-10-26,61079,27.2,0.4533,54460,Desktop,Northeast
CNT0004,2024-10-27,23304,53.6,0.8933,20797,CTV,Southwest
CNT0004,2024-10-28,43366,31.4,0.5233,37444,Tablet,Southeast
CNT0004,2024-10-29,52192,42.1,0.7017,34793,Mobile,West
CNT0004,2024-10-30,82430,42.4,0.7067,57788,Mobile,Southeast
CNT0004,2024-10-31,56718,35.0,0.5833,45856,Desktop,Southwest
CNT0004,2024-11-01,7814,54.2,0.9033,6381,Desktop,Midwest
CNT0004,2024-11-02,73912,33.3,0.555,57120,CTV,West
CNT0004,2024-11-03,5841,25.5,0.425,3703,CTV,Midwest
CNT0004,2024-11-04,49229,40.9,0.6817,42795,Mobile,West
CNT0004,2024-11-05,74061,51.1,0.8517,67978,Desktop,Southwest
CNT0004,2024-11-06,52325,51.3,0.855,35669,Tablet,Southwest
CNT0004,2024-11-07,71912,35.4,0.59,48069,Tablet,Northeast
CNT0004,2024-11-08,3588,38.1,0.635,2461,Tablet,Midwest
CNT0004,2024-11-09,4268,38.5,0.6417,2875,CTV,Southwest
CNT0004,2024-11-10,8582,40.6,0.6767,6496,Mobile,Northeast
CNT0004,2024-11-11,24571,31.3,0.5217,15138,Mobile,West
CNT0004,2024-11-12,29392,53.9,0.8983,23516,Mobile,Midwest
CNT0004,2024-11-13,18562,30.5,0.5083,12735,Tablet,Midwest
CNT0004,2024-11-14,28265,53.3,0.8883,17312,Mobile,Northeast
CNT0004,2024-11-15,18791,40.6,0.6767,14448,Desktop,Midwest
CNT0004,2024-11-16,25427,27.4,0.4567,21069,CTV,Southeast
CNT0004,2024-11-17,3205,55.1,0.9183,2127,Tablet,Southeast
CNT0004,2024-11-18,3536,33.3,0.555,2493,Mobile,Southeast
CNT0004,2024-11-19,1479,23.1,0.385,896,Tablet,Southeast
CNT0004,2024-11-20,17056,46.4,0.7733,15659,Tablet,Southeast
CNT0004,2024-11-21,25117,24.8,0.4133,15109,CTV,Northeast
CNT0004,2024-11-22,13957,25.1,0.4183,11939,CTV,Southwest
CNT0004,2024-11-23,4257,34.1,0.5683,3579,Mobile,Southeast
CNT0004,2024-11-24,8853,44.4,0.74,5882,Tablet,Southwest
CNT0004,2024-11-25,28659,39.2,0.6533,24287,Tablet,Southwest
CNT0004,2024-11-26,3262,34.3,0.5717,2522,Desktop,Midwest
CNT0004,2024-11-27,14229,54.8,0.9133,12867,Tablet,West
CNT0004,2024-11-28,14571,34.3,0.5717,8932,CTV,Southwest
CNT0004,2024-11-29,17537,38.6,0.6433,14362,Mobile,West
CNT0004,2024-11-30,5658,51.4,0.8567,4703,Mobile,West
CNT0004,2024-12-01,3273,52.8,0.88,2511,CTV,Midwest
CNT0004,2024-12-02,7336,43.6,0.7267,5705,Desktop,Midwest
CNT0005,2024-10-13,407568,28.0,0.6364,343560,Desktop,Southeast
CNT0005,2024-10-14,58189,20.1,0.4568,39750,CTV,Northeast
CNT0005,2024-10-15,445704,20.5,0.4659,376194,Desktop,West
CNT0005,2024-10-16,490693,16.2,0.3682,344922,Desktop,Midwest
CNT0005,2024-10-17,607054,37.7,0.8568,417330,Tablet,West
CNT0005,2024-10-18,392884,19.1,0.4341,242477,CTV,Southwest
CNT0005,2024-10-19,166606,22.1,0.5023,134295,CTV,Southeast
CNT0005,2024-10-20,578995,34.7,0.7886,516046,Mobile,Southeast
CNT0005,2024-10-21,530527,21.0,0.4773,394158,Desktop,Northeast
CNT0005,2024-10-22,121464,39.5,0.8977,88079,CTV,Southwest
CNT0005,2024-10-23,196045,28.0,0.6364,122020,Desktop,Midwest
CNT0005,2024-10-24,137975,27.1,0.6159,117650,Desktop,Southeast
CNT0005,2024-10-25,334127,23.2,0.5273,302161,Mobile,Midwest
CNT0005,2024-10-26,394194,15.8,0.3591,273685,Mobile,Southwest
CNT0005,2024-10-27,86109,40.3,0.9159,67096,Mobile,Southwest
CNT0005,2024-10-28,412376,23.7,0.5386,319865,Tablet,Northeast
CNT0005,2024-10-29,268387,19.8,0.45,215271,Desktop,Midwest
CNT0005,2024-10-30,322616,15.8,0.3591,262279,Tablet,Northeast
CNT0005,2024-10-31,43439,16.9,0.3841,34426,Mobile,Northeast
CNT0005,2024-11-01,97373,26.1,0.5932,59157,CTV,Southeast
CNT0005,2024-11-02,348419,21.5,0.4886,225031,CTV,Northeast
CNT0005,2024-11-03,53346,33.5,0.7614,44736,Mobile,Southeast
CNT0005,2024-11-04,73058,29.6,0.6727,66984,Tablet,Northeast
CNT0005,2024-11-05,186447,17.6,0.4,113620,Desktop,Southwest
CNT0005,2024-11-06,169159,15.7,0.3568,141304,Tablet,Midwest
CNT0005,2024-11-07,134408,39.4,0.8955,113844,Desktop,Midwest
CNT0005,2024-11-08,179209,33.6,0.7636,163188,Desktop,Southeast
CNT0005,2024-11-09,66344,39.9,0.9068,48700,Mobile,Midwest
CNT0005,2024-11-10,55372,36.1,0.8205,33668,CTV,Midwest
CNT0005,2024-11-11,112065,15.6,0.3545,85141,Mobile,Midwest
CNT0005,2024-11-12,130191,36.6,0.8318,88924,Desktop,Southwest
CNT0005,2024-11-13,166751,17.5,0.3977,153366,Mobile,Southeast
CNT0005,2024-11-14,117016,34.4,0.7818,98272,Mobile,West
CNT0005,2024-11-15,192548,39.3,0.8932,139820,CTV,Southwest
CNT0005,2024-11-16,140887,36.7,0.8341,116252,Tablet,Midwest
CNT0005,2024-11-17,213134,35.0,0.7955,192857,Mobile,Midwest
CNT0005,2024-11-18,32901,39.4,0.8955,26282,Tablet,West
CNT0005,2024-11-19,93030,26.5,0.6023,81308,Desktop,Southwest
CNT0005,2024-11-20,78858,27.3,0.6205,68256,Mobile,Southwest
CNT0005,2024-11-21,17844,31.4,0.7136,12771,CTV,West
CNT0005,2024-11-22,25875,35.6,0.8091,18036,Tablet,Midwest
CNT0005,2024-11-23,36469,18.5,0.4205,25536,Desktop,Southeast
CNT0005,2024-11-24,89753,16.7,0.3795,74704,Tablet,Southwest
CNT0005,2024-11-25,40305,39.2,0.8909,26128,Desktop,West
CNT0005,2024-11-26,58879,30.6,0.6955,49481,Mobile,Midwest
CNT0005,2024-11-27,60903,29.8,0.6773,39895,Tablet,Midwest
CNT0005,2024-11-28,45443,31.5,0.7159,28544,CTV,Northeast
CNT0005,2024-11-29,78690,33.2,0.7545,59629,Mobile,Southwest
CNT0005,2024-11-30,59692,17.4,0.3955,38618,Mobile,Northeast
CNT0005,2024-12-01,110698,26.2,0.5955,77283,Desktop,Southwest
CNT0005,2024-12-02,56952,28.0,0.6364,49917,Mobile,Northeast
CNT0005,2024-12-03,92858,28.4,0.6455,73147,Tablet,Southwest
CNT0005,2024-12-04,7742,40.3,0.9159,5648,CTV,Midwest
CNT0005,2024-12-05,23361,35.9,0.8159,21439,Mobile,Northeast
CNT0005,2024-12-06,35546,35.8,0.8136,25548,Mobile,Midwest
CNT0005,2024-12-07,16932,35.5,0.8068,11169,CTV,Northeast
CNT0005,2024-12-08,109483,25.5,0.5795,76583,Tablet,Northeast
CNT0005,2024-12-09,36207,27.9,0.6341,22888,Tablet,Northeast
CNT0005,2024-12-10,10434,20.5,0.4659,6469,Mobile,Northeast
CNT0005,2024-12-11,55144,26.6,0.6045,47698,CTV,Northeast
CNT0005,2024-12-12,8837,35.7,0.8114,5393,CTV,Southeast
CNT0005,2024-12-13,28767,38.4,0.8727,21631,CTV,Southeast
CNT0005,2024-12-14,12934,34.2,0.7773,9814,CTV,Southwest
CNT0005,2024-12-15,41528,34.5,0.7841,32289,CTV,Northeast
CNT0005,2024-12-16,53723,34.4,0.7818,47432,Mobile,Midwest
CNT0005,2024-12-17,30832,33.3,0.7568,28146,CTV,Southwest
CNT0005,2024-12-18,26469,17.9,0.4068,21370,Tablet,Southwest
CNT0005,2024-12-19,31900,37.2,0.8455,28544,CTV,Northeast
CNT0005,2024-12-20,18825,39.4,0.8955,13347,Desktop,Southwest
CNT0005,2024-12-21,10846,33.1,0.7523,6586,Mobile,Southwest
CNT0005,2024-12-22,39435,32.4,0.7364,34224,CTV,West
