campaign_id,advertiser,ad_type,network,content_category,region,device,budget,start_date,end_date,target_impressions
CMP0057,FinServ_G,Mid-roll,NexGen,News,Northeast,Desktop,64900.0,2024-12-17,2024-12-24,4492976
CMP0058,FinServ_G,Display,NexGen,Entertainment,Northeast,Tablet,180300.0,2024-08-24,2024-09-21,21645915
CMP0059,BeverageBrand_F,Mid-roll,StreamMax,Documentary,Northeast,CTV,500000.0,2024-11-16,2024-11-23,20709593
CMP0060,InsureCo_D,Mid-roll,NexGen,Documentary,Northeast,Mobile,320100.0,2024-08-21,2024-08-28,20125015
CMP0061,CPG_Co_B,Mid-roll,PrimeView,Sports,Southwest,CTV,104700.0,2024-09-04,2024-09-25,4400808
CMP0062,InsureCo_D,Pre-roll,ArcLight,Documentary,Southeast,CTV,213400.0,2024-11-25,2024-12-23,10749394
CMP0063,AutoBrand_A,Display,ArcLight,Drama,Midwest,CTV,407600.0,2024-09-16,2024-10-28,24552244
CMP0064,AutoBrand_H,Pre-roll,NexGen,Entertainment,West,Mobile,428500.0,2024-09-26,2024-10-03,27818747
CMP0065,AutoBrand_H,Sponsored_Content,NexGen,Documentary,Southwest,Desktop,317600.0,2024-11-11,2024-12-02,23562267
CMP0066,AutoBrand_H,Mid-roll,NexGen,Reality,Southwest,Tablet,157500.0,2024-09-01,2024-09-08,11480644
CMP0067,InsureCo_D,Display,PrimeView,Entertainment,Midwest,Desktop,111400.0,2024-11-04,2024-11-25,6384522
CMP0068,FinServ_G,Sponsored_Content,ArcLight,News,West,Tablet,65700.0,2024-11-10,2024-11-24,4206424
CMP0069,FinServ_G,Mid-roll,PrimeView,Documentary,Southwest,Desktop,164800.0,2024-07-05,2024-07-12,10270838
CMP0070,BeverageBrand_F,Display,NexGen,Entertainment,Midwest,Desktop,227100.0,2024-11-13,2024-12-04,19053377
CMP0071,RetailChain_C,Mid-roll,VisionPlus,Documentary,West,Desktop,81800.0,2024-08-19,2024-09-09,4025997
CMP0072,CPG_Co_B,Mid-roll,PrimeView,News,Midwest,Mobile,159400.0,2024-11-12,2024-12-24,12132237
CMP0073,AutoBrand_A,Display,VisionPlus,Documentary,West,CTV,155300.0,2024-11-14,2024-11-28,6800595
CMP0074,AutoBrand_H,Display,VisionPlus,Sports,Midwest,Tablet,248000.0,2024-11-24,2024-12-15,24950999
CMP0075,AutoBrand_A,Mid-roll,VisionPlus,Reality,Midwest,CTV,258600.0,2024-07-17,2024-08-14,10386957
CMP0076,InsureCo_D,Sponsored_Content,NexGen,Drama,Midwest,Tablet,388100.0,2024-07-31,2024-09-11,29420540
CMP0077,CPG_Co_B,Mid-roll,VisionPlus,Entertainment,Northeast,Mobile,314600.0,2024-12-06,2024-12-13,26047988
CMP0078,FinServ_G,Sponsored_Content,ArcLight,Drama,Midwest,CTV,99400.0,2024-11-19,2024-11-26,8328378
CMP0079,InsureCo_D,Display,ArcLight,Documentary,Southeast,Tablet,58800.0,2024-09-11,2024-10-09,5908836
CMP0080,RetailChain_C,Pre-roll,StreamMax,News,Midwest,Desktop,456500.0,2024-08-27,2024-09-10,29517105
CMP0081,TechFirm_E,Sponsored_Content,NexGen,Sports,Southwest,CTV,357400.0,2024-10-28,2024-11-18,15458351
CMP0082,CPG_Co_B,Mid-roll,ArcLight,Reality,Northeast,Desktop,143900.0,2024-09-21,2024-11-02,8085996
CMP0083,AutoBrand_H,Display,VisionPlus,Reality,West,Tablet,271500.0,2024-08-14,2024-09-11,11093432
CMP0084,BeverageBrand_F,Pre-roll,VisionPlus,Entertainment,West,Tablet,219000.0,2024-10-29,2024-11-19,16977135
CMP0085,CPG_Co_B,Display,PrimeView,Entertainment,Northeast,Tablet,42400.0,2024-10-11,2024-11-22,1867555
CMP0086,AutoBrand_A,Mid-roll,ArcLight,Entertainment,Southwest,Tablet,244400.0,2024-07-01,2024-08-12,13117253
CMP0087,RetailChain_C,Display,NexGen,Documentary,West,CTV,151900.0,2024-07-14,2024-07-28,17889992
CMP0088,RetailChain_C,Display,ArcLight,Sports,Southwest,Tablet,404700.0,2024-12-09,2025-01-01,42224176
CMP0089,RetailChain_C,Sponsored_Content,PrimeView,Reality,Midwest,Tablet,474900.0,2024-07-30,2024-08-27,21401236
CMP0090,RetailChain_C,Sponsored_Content,VisionPlus,Reality,Southwest,Mobile,242000.0,2024-10-29,2024-11-12,10666216
CMP0091,TechFirm_E,Pre-roll,PrimeView,Documentary,Midwest,Tablet,186400.0,2024-09-09,2024-10-07,8208043
CMP0092,BeverageBrand_F,Sponsored_Content,NexGen,Entertainment,Southeast,Mobile,255100.0,2024-10-23,2024-12-04,14395707
CMP0093,AutoBrand_H,Sponsored_Content,NexGen,Documentary,Southeast,Tablet,45700.0,2024-08-29,2024-09-26,1872796
CMP0094,BeverageBrand_F,Pre-roll,NexGen,Sports,Southwest,Tablet,483500.0,2024-08-02,2024-09-13,58528666
CMP0095,RetailChain_C,Pre-roll,NexGen,Entertainment,Midwest,Tablet,438700.0,2024-08-06,2024-09-03,23032228
CMP0096,BeverageBrand_F,Sponsored_Content,ArcLight,Sports,Southwest,CTV,205500.0,2024-09-23,2024-11-04,17137718
CMP0097,FinServ_G,Pre-roll,StreamMax,Drama,Southeast,Desktop,379700.0,2024-09-12,2024-09-26,16255527
CMP0098,TechFirm_E,Display,PrimeView,Drama,Southeast,Mobile,403200.0,2024-07-12,2024-08-02,23676106
CMP0099,CPG_Co_B,Sponsored_Content,ArcLight,Documentary,Southeast,Tablet,105700.0,2024-11-22,2024-12-06,4494411
CMP0100,TechFirm_E,Sponsored_Content,PrimeView,Documentary,Northeast,Tablet,244000.0,2024-08-06,2024-08-20,10462870
CMP0101,BeverageBrand_F,Display,NexGen,Documentary,Midwest,Tablet,60100.0,2024-11-17,2024-12-01,2686613
CMP0102,CPG_Co_B,Mid-roll,NexGen,Reality,Midwest,Desktop,430300.0,2024-08-20,2024-09-17,17297960
CMP0103,FinServ_G,Display,StreamMax,Reality,Northeast,Tablet,489500.0,2024-09-14,2024-09-21,22091083
CMP0104,BeverageBrand_F,Mid-roll,VisionPlus,Reality,Midwest,Mobile,313400.0,2024-09-12,2024-09-26,16777106
CMP0105,AutoBrand_H,Pre-roll,ArcLight,Entertainment,Southeast,CTV,171700.0,2024-12-08,2024-12-15,7317694
CMP0106,RetailChain_C,Display,ArcLight,Reality,Midwest,Mobile,108400.0,2024-09-22,2024-10-20,8764205
CMP0107,BeverageBrand_F,Pre-roll,NexGen,Sports,Southeast,Mobile,379600.0,2024-11-01,2024-11-22,16779836
CMP0108,FinServ_G,Pre-roll,PrimeView,Reality,Northeast,Tablet,198700.0,2024-10-10,2024-11-21,13928263
CMP0109,BeverageBrand_F,Pre-roll,VisionPlus,Drama,Northeast,Desktop,206000.0,2024-09-06,2024-10-18,8743874
CMP0110,AutoBrand_H,Display,NexGen,Sports,Southeast,CTV,326800.0,2024-08-26,2024-09-02,13567796
CMP0111,InsureCo_D,Mid-roll,NexGen,Drama,Midwest,Tablet,80200.0,2024-09-16,2024-10-14,4459324
CMP0112,AutoBrand_H,Sponsored_Content,PrimeView,Sports,Midwest,Mobile,336100.0,2024-08-09,2024-09-06,21631519
CMP0113,BeverageBrand_F,Display,StreamMax,Drama,Midwest,Mobile,72200.0,2024-08-30,2024-09-20,2951816
CMP0114,AutoBrand_A,Pre-roll,PrimeView,News,Southeast,Mobile,339800.0,2024-10-25,2024-11-01,37070280
CMP0115,InsureCo_D,Display,VisionPlus,Reality,Northeast,Desktop,303500.0,2024-11-19,2024-12-03,13433421
CMP0116,RetailChain_C,Pre-roll,StreamMax,News,Northeast,Desktop,281600.0,2024-08-07,2024-08-21,13140617
CMP0117,RetailChain_C,Display,StreamMax,News,West,CTV,178800.0,2024-08-30,2024-10-11,8647577
CMP0118,CPG_Co_B,Sponsored_Content,ArcLight,News,Southwest,CTV,394600.0,2024-10-30,2024-11-27,19378159
CMP0119,AutoBrand_A,Pre-roll,NexGen,Drama,West,CTV,168300.0,2024-12-16,2025-01-01,10303301
CMP0120,BeverageBrand_F,Mid-roll,StreamMax,News,Midwest,Desktop,452200.0,2024-10-22,2024-10-29,31239260
CMP0121,FinServ_G,Pre-roll,StreamMax,Documentary,Southwest,Mobile,165100.0,2024-11-30,2025-01-01,10782964
CMP0122,AutoBrand_H,Sponsored_Content,NexGen,Documentary,Northeast,Desktop,186000.0,2024-08-28,2024-09-25,12192733
CMP0123,RetailChain_C,Sponsored_Content,StreamMax,Sports,Northeast,CTV,202800.0,2024-12-18,2025-01-01,13218701
CMP0124,BeverageBrand_F,Pre-roll,NexGen,Entertainment,West,CTV,289300.0,2024-10-04,2024-10-18,11826130
CMP0125,InsureCo_D,Mid-roll,NexGen,News,Northeast,Desktop,192000.0,2024-12-01,2024-12-22,8582406
CMP0126,InsureCo_D,Sponsored_Content,ArcLight,Reality,Southwest,CTV,387200.0,2024-10-03,2024-10-10,21097467
CMP0127,TechFirm_E,Display,PrimeView,Entertainment,Northeast,Mobile,38800.0,2024-12-16,2025-01-01,1702675
CMP0128,AutoBrand_A,Pre-roll,ArcLight,News,West,Tablet,58100.0,2024-11-22,2024-12-20,3697815
CMP0129,BeverageBrand_F,Pre-roll,StreamMax,News,Southeast,CTV,173000.0,2024-08-10,2024-08-31,8891187
CMP0130,AutoBrand_H,Sponsored_Content,NexGen,Entertainment,Southeast,CTV,339400.0,2024-09-08,2024-10-06,24473716
CMP0131,AutoBrand_H,Display,StreamMax,News,West,CTV,347200.0,2024-07-29,2024-08-19,42702452
CMP0132,TechFirm_E,Display,PrimeView,Sports,Northeast,Tablet,389500.0,2024-09-16,2024-09-30,18817115
CMP0133,InsureCo_D,Display,StreamMax,Drama,Northeast,Tablet,205600.0,2024-08-14,2024-08-28,24715679
CMP0134,FinServ_G,Sponsored_Content,PrimeView,Sports,West,CTV,298500.0,2024-07-20,2024-08-10,12220887
CMP0135,BeverageBrand_F,Pre-roll,NexGen,Sports,Southeast,Tablet,243500.0,2024-08-13,2024-09-24,13519657
CMP0136,TechFirm_E,Display,VisionPlus,Entertainment,Southeast,CTV,213000.0,2024-11-12,2024-11-19,12771150
CMP0137,BeverageBrand_F,Display,VisionPlus,News,Northeast,Mobile,267200.0,2024-07-30,2024-09-10,21633070
CMP0138,CPG_Co_B,Mid-roll,NexGen,Drama,Southwest,Tablet,97600.0,2024-08-14,2024-09-25,4984864
CMP0139,BeverageBrand_F,Mid-roll,NexGen,Sports,West,Tablet,178500.0,2024-11-22,2025-01-01,9528361
CMP0140,CPG_Co_B,Display,NexGen,Drama,Northeast,CTV,51700.0,2024-09-09,2024-10-21,3623356
CMP0141,CPG_Co_B,Sponsored_Content,NexGen,Reality,Southwest,CTV,331200.0,2024-09-12,2024-09-19,21169062
CMP0142,AutoBrand_H,Mid-roll,StreamMax,Drama,Northeast,Desktop,177700.0,2024-11-24,2024-12-08,7194170
CMP0143,AutoBrand_A,Mid-roll,NexGen,Drama,Southwest,Mobile,331900.0,2024-07-22,2024-09-02,23395868
CMP0144,BeverageBrand_F,Pre-roll,PrimeView,Sports,Midwest,CTV,219200.0,2024-09-11,2024-10-09,12536191
CMP0145,RetailChain_C,Display,StreamMax,Reality,Southeast,Desktop,144700.0,2024-10-07,2024-10-28,10901059
CMP0146,CPG_Co_B,Display,ArcLight,Drama,Midwest,Mobile,86300.0,2024-12-15,2025-01-01,4450293
CMP0147,FinServ_G,Display,StreamMax,Entertainment,Midwest,Mobile,331900.0,2024-11-12,2024-11-19,13731968
CMP0148,RetailChain_C,Mid-roll,StreamMax,Entertainment,Northeast,CTV,116200.0,2024-09-26,2024-10-24,6035486
CMP0149,RetailChain_C,Mid-roll,VisionPlus,Documentary,Southwest,Mobile,308700.0,2024-12-06,2024-12-20,15236836
CMP0150,InsureCo_D,Sponsored_Content,ArcLight,Entertainment,West,Mobile,198000.0,2024-07-12,2024-08-09,11593734
