campaign_id,advertiser,budget,target_impressions,actual_impressions,delivery_pct,pacing_status
CMP0138,CPG_Co_B,97600.0,4984864,4794645,96.2,ON_TRACK
CMP0121,FinServ_G,165100.0,10782964,10362774,96.1,ON_TRACK
CMP0100,TechFirm_E,244000.0,10462870,10029897,95.9,ON_TRACK
CMP0119,AutoBrand_A,168300.0,10303301,9852828,95.6,ON_TRACK
CMP0136,TechFirm_E,213000.0,12771150,12181813,95.4,ON_TRACK
CMP0093,AutoBrand_H,45700.0,1872796,1781631,95.1,ON_TRACK
CMP0065,AutoBrand_H,317600.0,23562267,21873853,92.8,ON_TRACK
CMP0032,InsureCo_D,365900.0,38237764,35422744,92.6,ON_TRACK
CMP0073,AutoBrand_A,155300.0,6800595,6269431,92.2,ON_TRACK
CMP0077,CPG_Co_B,314600.0,26047988,23841111,91.5,ON_TRACK
CMP0124,BeverageBrand_F,289300.0,11826130,10582694,89.5,ON_TRACK
